Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
2022-2023,Adam Henrique,ANA,C,62,772.8333333,15,10,4,6,25,71.43,94,15.96,10.23,150,117,101,52,4,13,18,9,9,0,0,8,27,14,26,32,26,131,120,52.19
2022-2023,James van Riemsdyk,PHI,L,61,772.25,8,13,7,6,21,61.76,95,8.42,9.7,156,125,90,52,7,14,26,13,13,0,0,6,9,23,16,53,16,7,7,50
2022-2023,Trevor Moore,L.A,"C, L",59,771.3833333,6,11,8,3,17,70.83,126,4.76,11.57,212,170,103,53,3,21,10,5,5,0,0,8,17,23,56,81,2,9,18,33.33
2022-2023,Denis Gurianov,"DAL, MTL",R,66,769.5666667,6,8,7,1,14,60.87,101,5.94,8.14,193,145,83,41,4,13,10,5,5,0,0,6,31,14,40,38,23,0,0,-
2022-2023,Jordan Greenway,"BUF, MIN",L,62,769.55,5,5,2,3,10,34.48,87,5.75,9.58,171,126,98,50,4,22,24,12,12,0,0,11,12,11,103,55,29,2,11,15.38
2022-2023,Sammy Blais,"NYR, STL",L,71,767.4,9,15,6,9,24,72.73,61,14.75,7.11,114,91,73,36,2,5,28,13,13,0,0,19,21,16,229,102,28,2,5,28.57
2022-2023,Gabriel Vilardi,L.A,"C, R",63,766.7666667,17,12,7,5,29,87.88,93,18.28,10.9,154,116,107,50,6,20,14,7,7,0,0,25,13,22,37,78,8,36,44,45
2022-2023,Derek Forbort,BOS,D,54,764.7833333,3,7,5,2,10,31.25,32,9.38,1.37,97,49,23,2,0,7,23,10,9,1,0,4,21,9,83,93,50,0,0,-
2022-2023,Zach Aston-Reese,TOR,C,77,764.4,10,4,2,2,14,66.67,82,12.2,9.06,157,131,103,59,11,11,23,10,9,1,0,8,11,16,161,125,37,6,7,46.15
2022-2023,Sonny Milano,WSH,L,64,763.65,10,17,8,9,27,67.5,72,13.89,9.46,129,111,79,47,3,11,18,8,8,0,0,7,18,21,38,112,10,0,0,-
